sent_pair_1,sent_pair_2,tag
"For_IN too_RB long_RB ,_, a_DT small_JJ group_NN in_IN our_PRP$ Nation_NNP 's_POS Capital_NNP has_VBZ reaped_VBN the_DT rewards_NNS of_IN Government_NN while_IN the_DT people_NNS have_VBP borne_VBN the_DT cost_NN ._.
","Washington_NNP flourished_VBD ,_, but_CC the_DT people_NNS did_VBD not_RB share_NN in_IN its_PRP$ wealth_NN ._.
",F
"Washington_NNP flourished_VBD ,_, but_CC the_DT people_NNS did_VBD not_RB share_NN in_IN its_PRP$ wealth_NN ._.
","Politicians_NNS prospered_VBD ,_, but_CC the_DT jobs_NNS left_VBD ,_, and_CC the_DT factories_NNS closed_VBD ._.
",T
"Politicians_NNS prospered_VBD ,_, but_CC the_DT jobs_NNS left_VBD ,_, and_CC the_DT factories_NNS closed_VBD ._.
","The_DT establishment_NN protected_VBD itself_PRP ,_, but_CC not_RB the_DT citizens_NNS of_IN our_PRP$ country_NN ._.
",F
"The_DT establishment_NN protected_VBD itself_PRP ,_, but_CC not_RB the_DT citizens_NNS of_IN our_PRP$ country_NN ._.
","Their_PRP$ victories_NNS have_VBP not_RB been_VBN your_PRP$ victories_NNS ;_:
",F
"Their_PRP$ victories_NNS have_VBP not_RB been_VBN your_PRP$ victories_NNS ;_:
"," their_PRP$ triumphs_NNS have_VBP not_RB been_VBN your_PRP$ triumphs_NNS ;_:
",T
" their_PRP$ triumphs_NNS have_VBP not_RB been_VBN your_PRP$ triumphs_NNS ;_:
"," and_CC while_IN they_PRP celebrated_VBD in_IN our_PRP$ Nation_NNP 's_POS Capital_NNP ,_, there_EX was_VBD little_JJ to_TO celebrate_VB for_IN struggling_VBG families_NNS all_DT across_IN our_PRP$ land_NN ._.
",F
" and_CC while_IN they_PRP celebrated_VBD in_IN our_PRP$ Nation_NNP 's_POS Capital_NNP ,_, there_EX was_VBD little_JJ to_TO celebrate_VB for_IN struggling_VBG families_NNS all_DT across_IN our_PRP$ land_NN ._.
","That_DT all_DT changes_NNS ,_, starting_VBG right_RB here_RB and_CC right_RB now_RB ,_, because_IN this_DT moment_NN is_VBZ your_PRP$ moment_NN :_:
",F
"That_DT all_DT changes_NNS ,_, starting_VBG right_RB here_RB and_CC right_RB now_RB ,_, because_IN this_DT moment_NN is_VBZ your_PRP$ moment_NN :_:
"," It_PRP belongs_VBZ to_TO you_PRP ._.
",F
" It_PRP belongs_VBZ to_TO you_PRP ._.
","It_PRP belongs_VBZ to_TO everyone_NN gathered_VBN here_RB today_NN and_CC everyone_NN watching_VBG all_DT across_IN America_NNP ._.
",T
"It_PRP belongs_VBZ to_TO everyone_NN gathered_VBN here_RB today_NN and_CC everyone_NN watching_VBG all_DT across_IN America_NNP ._.
","This_DT is_VBZ your_PRP$ day_NN ._.
",F
"This_DT is_VBZ your_PRP$ day_NN ._.
","This_DT is_VBZ your_PRP$ celebration_NN ._.
",T
"This_DT is_VBZ your_PRP$ celebration_NN ._.
","And_CC this_DT ,_, the_DT United_NNP States_NNPS of_IN America_NNP ,_, is_VBZ your_PRP$ country_NN ._.
",T
"And_CC this_DT ,_, the_DT United_NNP States_NNPS of_IN America_NNP ,_, is_VBZ your_PRP$ country_NN ._.
","What_WDT truly_RB matters_VBZ is_VBZ not_RB which_WDT party_NN controls_VBZ our_PRP$ Government_NN ,_, but_CC whether_IN our_PRP$ Government_NN is_VBZ controlled_VBN by_IN the_DT people_NNS ._.
",F
"What_WDT truly_RB matters_VBZ is_VBZ not_RB which_WDT party_NN controls_VBZ our_PRP$ Government_NN ,_, but_CC whether_IN our_PRP$ Government_NN is_VBZ controlled_VBN by_IN the_DT people_NNS ._.
","January_NNP 20_CD ,_, 2017_CD ,_, will_MD be_VB remembered_VBN as_IN the_DT day_NN the_DT people_NNS became_VBD the_DT rulers_NNS of_IN this_DT Nation_NN again_RB ._.",F
"January_NNP 20_CD ,_, 2017_CD ,_, will_MD be_VB remembered_VBN as_IN the_DT day_NN the_DT people_NNS became_VBD the_DT rulers_NNS of_IN this_DT Nation_NN again_RB ._.","The_DT forgotten_VBN men_NNS and_CC women_NNS of_IN our_PRP$ country_NN will_MD be_VB forgotten_VBN no_RB longer_RBR ._.
",F
"The_DT forgotten_VBN men_NNS and_CC women_NNS of_IN our_PRP$ country_NN will_MD be_VB forgotten_VBN no_RB longer_RBR ._.
","Everyone_NN is_VBZ listening_VBG to_TO you_PRP now_RB ._.
",F
"Everyone_NN is_VBZ listening_VBG to_TO you_PRP now_RB ._.
","You_PRP came_VBD by_IN the_DT tens_NNS of_IN millions_NNS to_TO become_VB part_NN of_IN a_DT historic_JJ movement_NN the_DT likes_NN of_IN which_WDT the_DT world_NN has_VBZ never_RB seen_VBN before_IN ._.
",F
"You_PRP came_VBD by_IN the_DT tens_NNS of_IN millions_NNS to_TO become_VB part_NN of_IN a_DT historic_JJ movement_NN the_DT likes_NN of_IN which_WDT the_DT world_NN has_VBZ never_RB seen_VBN before_IN ._.
","At_IN the_DT center_NN of_IN this_DT movement_NN is_VBZ a_DT crucial_JJ conviction_NN :_:
",F
"At_IN the_DT center_NN of_IN this_DT movement_NN is_VBZ a_DT crucial_JJ conviction_NN :_:
"," that_IN a_DT nation_NN exists_VBZ to_TO serve_VB its_PRP$ citizens_NNS ._.
",F
" that_IN a_DT nation_NN exists_VBZ to_TO serve_VB its_PRP$ citizens_NNS ._.
","Americans_NNPS want_VBP great_JJ schools_NNS for_IN their_PRP$ children_NNS ,_, safe_JJ neighborhoods_NNS for_IN their_PRP$ families_NNS ,_, and_CC good_JJ jobs_NNS for_IN themselves_PRP ._.
",F
"Americans_NNPS want_VBP great_JJ schools_NNS for_IN their_PRP$ children_NNS ,_, safe_JJ neighborhoods_NNS for_IN their_PRP$ families_NNS ,_, and_CC good_JJ jobs_NNS for_IN themselves_PRP ._.
","These_DT are_VBP just_RB and_CC reasonable_JJ demands_NNS of_IN righteous_JJ people_NNS and_CC a_DT righteous_JJ public_NN ._.
",F
"These_DT are_VBP just_RB and_CC reasonable_JJ demands_NNS of_IN righteous_JJ people_NNS and_CC a_DT righteous_JJ public_NN ._.
","But_CC for_IN too_RB many_JJ of_IN our_PRP$ citizens_NNS ,_, a_DT different_JJ reality_NN exists_VBZ :_:
",F
"But_CC for_IN too_RB many_JJ of_IN our_PRP$ citizens_NNS ,_, a_DT different_JJ reality_NN exists_VBZ :_:
"," Mothers_NNS and_CC children_NNS trapped_VBN in_IN poverty_NN in_IN our_PRP$ inner_JJ cities_NNS ;_:
",F
" Mothers_NNS and_CC children_NNS trapped_VBN in_IN poverty_NN in_IN our_PRP$ inner_JJ cities_NNS ;_:
"," rusted-out_JJ factories_NNS scattered_VBN like_IN tombstones_NNS across_IN the_DT landscape_NN of_IN our_PRP$ Nation_NN ;_:
",F
" rusted-out_JJ factories_NNS scattered_VBN like_IN tombstones_NNS across_IN the_DT landscape_NN of_IN our_PRP$ Nation_NN ;_:
"," an_DT education_NN system_NN ,_, flush_NN with_IN cash_NN ,_, but_CC which_WDT leaves_VBZ our_PRP$ young_JJ and_CC beautiful_JJ students_NNS deprived_VBN of_IN all_DT knowledge_NN ;_:
",F
" an_DT education_NN system_NN ,_, flush_NN with_IN cash_NN ,_, but_CC which_WDT leaves_VBZ our_PRP$ young_JJ and_CC beautiful_JJ students_NNS deprived_VBN of_IN all_DT knowledge_NN ;_:
"," and_CC the_DT crime_NN and_CC the_DT gangs_NNS and_CC the_DT drugs_NNS that_WDT have_VBP stolen_VBN too_RB many_JJ lives_NNS and_CC robbed_VBN our_PRP$ country_NN of_IN so_RB much_JJ unrealized_JJ potential_NN ._.
",F
" and_CC the_DT crime_NN and_CC the_DT gangs_NNS and_CC the_DT drugs_NNS that_WDT have_VBP stolen_VBN too_RB many_JJ lives_NNS and_CC robbed_VBN our_PRP$ country_NN of_IN so_RB much_JJ unrealized_JJ potential_NN ._.
","This_DT American_JJ carnage_NN stops_VBZ right_RB here_RB and_CC stops_VBZ right_RB now_RB ._.
",F
"This_DT American_JJ carnage_NN stops_VBZ right_RB here_RB and_CC stops_VBZ right_RB now_RB ._.
","We_PRP are_VBP one_CD Nation_NNP ,_, and_CC their_PRP$ pain_NN is_VBZ our_PRP$ pain_NN ,_, their_PRP$ dreams_NNS are_VBP our_PRP$ dreams_NNS ,_, and_CC their_PRP$ success_NN will_MD be_VB our_PRP$ success_NN ._.
",F
"We_PRP are_VBP one_CD Nation_NNP ,_, and_CC their_PRP$ pain_NN is_VBZ our_PRP$ pain_NN ,_, their_PRP$ dreams_NNS are_VBP our_PRP$ dreams_NNS ,_, and_CC their_PRP$ success_NN will_MD be_VB our_PRP$ success_NN ._.
","We_PRP share_VBP one_CD heart_NN ,_, one_CD home_NN ,_, and_CC one_CD glorious_JJ destiny_NN ._.
",F
"We_PRP share_VBP one_CD heart_NN ,_, one_CD home_NN ,_, and_CC one_CD glorious_JJ destiny_NN ._.
","The_DT oath_NN of_IN office_NN I_PRP take_VBP today_NN is_VBZ an_DT oath_NN of_IN allegiance_NN to_TO all_DT Americans_NNPS ._.
",F
"The_DT oath_NN of_IN office_NN I_PRP take_VBP today_NN is_VBZ an_DT oath_NN of_IN allegiance_NN to_TO all_DT Americans_NNPS ._.
","For_IN many_JJ decades_NNS ,_, we_PRP 've_VBP enriched_VBN foreign_JJ industry_NN at_IN the_DT expense_NN of_IN American_JJ industry_NN ,_, subsidized_VBD the_DT armies_NNS of_IN other_JJ countries_NNS while_IN allowing_VBG for_IN the_DT very_RB sad_JJ depletion_NN of_IN our_PRP$ military_NN ._.
",F
"For_IN many_JJ decades_NNS ,_, we_PRP 've_VBP enriched_VBN foreign_JJ industry_NN at_IN the_DT expense_NN of_IN American_JJ industry_NN ,_, subsidized_VBD the_DT armies_NNS of_IN other_JJ countries_NNS while_IN allowing_VBG for_IN the_DT very_RB sad_JJ depletion_NN of_IN our_PRP$ military_NN ._.
","We_PRP 've_VBP defended_VBN other_JJ nations_NNS '_POS borders_NNS while_IN refusing_VBG to_TO defend_VB our_PRP$ own_JJ and_CC spent_VBD trillions_NNS and_CC trillions_NNS of_IN dollars_NNS overseas_RB while_IN America_NNP 's_POS infrastructure_NN has_VBZ fallen_VBN into_IN disrepair_NN and_CC decay_NN ._.
",T
"We_PRP 've_VBP defended_VBN other_JJ nations_NNS '_POS borders_NNS while_IN refusing_VBG to_TO defend_VB our_PRP$ own_JJ and_CC spent_VBD trillions_NNS and_CC trillions_NNS of_IN dollars_NNS overseas_RB while_IN America_NNP 's_POS infrastructure_NN has_VBZ fallen_VBN into_IN disrepair_NN and_CC decay_NN ._.
","We_PRP 've_VBP made_VBN other_JJ countries_NNS rich_JJ while_IN the_DT wealth_NN ,_, strength_NN ,_, and_CC confidence_NN of_IN our_PRP$ country_NN has_VBZ dissipated_VBN over_IN the_DT horizon_NN ._.
",T
"We_PRP 've_VBP made_VBN other_JJ countries_NNS rich_JJ while_IN the_DT wealth_NN ,_, strength_NN ,_, and_CC confidence_NN of_IN our_PRP$ country_NN has_VBZ dissipated_VBN over_IN the_DT horizon_NN ._.
","One_CD by_IN one_CD ,_, the_DT factories_NNS shuttered_VBD and_CC left_VBD our_PRP$ shores_NNS ,_, with_IN not_RB even_RB a_DT thought_VBN about_IN the_DT millions_NNS and_CC millions_NNS of_IN American_JJ workers_NNS that_WDT were_VBD left_VBN behind_RB ._.
",F
"One_CD by_IN one_CD ,_, the_DT factories_NNS shuttered_VBD and_CC left_VBD our_PRP$ shores_NNS ,_, with_IN not_RB even_RB a_DT thought_VBN about_IN the_DT millions_NNS and_CC millions_NNS of_IN American_JJ workers_NNS that_WDT were_VBD left_VBN behind_RB ._.
","The_DT wealth_NN of_IN our_PRP$ middle_JJ class_NN has_VBZ been_VBN ripped_VBN from_IN their_PRP$ homes_NNS and_CC then_RB redistributed_VBD all_DT across_IN the_DT world_NN ._.
",F
"The_DT wealth_NN of_IN our_PRP$ middle_JJ class_NN has_VBZ been_VBN ripped_VBN from_IN their_PRP$ homes_NNS and_CC then_RB redistributed_VBD all_DT across_IN the_DT world_NN ._.
","But_CC that_DT is_VBZ the_DT past_NN ._.
",F
"But_CC that_DT is_VBZ the_DT past_NN ._.
","And_CC now_RB we_PRP are_VBP looking_VBG only_RB to_TO the_DT future_NN ._.
",F
"And_CC now_RB we_PRP are_VBP looking_VBG only_RB to_TO the_DT future_NN ._.
","We_PRP ,_, assembled_VBN here_RB today_NN ,_, are_VBP issuing_VBG a_DT new_JJ decree_NN to_TO be_VB heard_VBN in_IN every_DT city_NN ,_, in_IN every_DT foreign_JJ capital_NN ,_, and_CC in_IN every_DT hall_NN of_IN power_NN ._.
",F
"We_PRP ,_, assembled_VBN here_RB today_NN ,_, are_VBP issuing_VBG a_DT new_JJ decree_NN to_TO be_VB heard_VBN in_IN every_DT city_NN ,_, in_IN every_DT foreign_JJ capital_NN ,_, and_CC in_IN every_DT hall_NN of_IN power_NN ._.
","From_IN this_DT day_NN forward_RB ,_, a_DT new_JJ vision_NN will_MD govern_VB our_PRP$ land_NN ._.
",F
"From_IN this_DT day_NN forward_RB ,_, a_DT new_JJ vision_NN will_MD govern_VB our_PRP$ land_NN ._.
","From_IN this_DT day_NN forward_RB ,_, it_PRP 's_VBZ going_VBG to_TO be_VB only_RB America_NNP first_RB ._.
",T
"From_IN this_DT this_DT day_NN forward_RB ,_, it_PRP 's_VBZ going_VBG to_TO be_VB only_RB America_NNP first_RB ._.
","America_NNP first_RB ._.
",T
"America_NNP first_RB ._.
","Every_DT decision_NN on_IN trade_NN ,_, on_IN taxes_NNS ,_, on_IN immigration_NN ,_, on_IN foreign_JJ affairs_NNS ,_, will_MD be_VB made_VBN to_TO benefit_VB American_JJ workers_NNS and_CC American_JJ families_NNS ._.
",F
"Every_DT decision_NN on_IN trade_NN ,_, on_IN taxes_NNS ,_, on_IN immigration_NN ,_, on_IN foreign_JJ affairs_NNS ,_, will_MD be_VB made_VBN to_TO benefit_VB American_JJ workers_NNS and_CC American_JJ families_NNS ._.
","We_PRP must_MD protect_VB our_PRP$ borders_NNS from_IN the_DT ravages_NNS of_IN other_JJ countries_NNS making_VBG our_PRP$ products_NNS ,_, stealing_VBG our_PRP$ companies_NNS ,_, and_CC destroying_VBG our_PRP$ jobs_NNS ._.
",F
"We_PRP must_MD protect_VB our_PRP$ borders_NNS from_IN the_DT ravages_NNS of_IN other_JJ countries_NNS making_VBG our_PRP$ products_NNS ,_, stealing_VBG our_PRP$ companies_NNS ,_, and_CC destroying_VBG our_PRP$ jobs_NNS ._.
","Protection_NNP will_MD lead_VB to_TO great_JJ prosperity_NN and_CC strength_NN ._.
",F
"Protection_NNP will_MD lead_VB to_TO great_JJ prosperity_NN and_CC strength_NN ._.
","I_PRP will_MD fight_VB for_IN you_PRP with_IN every_DT breath_NN in_IN my_PRP$ body_NN ,_, and_CC I_PRP will_MD never_RB ,_, ever_RB let_VB you_PRP down_RP ._.
",F
"I_PRP will_MD fight_VB for_IN you_PRP with_IN every_DT breath_NN in_IN my_PRP$ body_NN ,_, and_CC I_PRP will_MD never_RB ,_, ever_RB let_VB you_PRP down_RP ._.
","America_NNP will_MD start_VB winning_VBG again_RB ,_, winning_VBG like_IN never_RB before_RB ._.
",F
"America_NNP will_MD start_VB winning_VBG again_RB ,_, winning_VBG like_IN never_RB before_RB ._.
","We_PRP will_MD bring_VB back_RP our_PRP$ jobs_NNS ._.
",F
"We_PRP will_MD bring_VB back_RP our_PRP$ jobs_NNS ._.
","We_PRP will_MD bring_VB back_RP our_PRP$ borders_NNS ._.
",T
"We_PRP will_MD bring_VB back_RP our_PRP$ borders_NNS ._.
","We_PRP will_MD bring_VB back_RP our_PRP$ wealth_NN ._.
",T
"We_PRP will_MD bring_VB back_RP our_PRP$ wealth_NN ._.
","And_CC we_PRP will_MD bring_VB back_RP our_PRP$ dreams_NNS ._.
",T
"And_CC we_PRP will_MD bring_VB back_RP our_PRP$ dreams_NNS ._.
","We_PRP will_MD build_VB new_JJ roads_NNS and_CC highways_NNS and_CC bridges_NNS and_CC airports_NNS and_CC tunnels_NNS and_CC railways_NNS all_DT across_IN our_PRP$ wonderful_JJ Nation_NN ._.
",T
"We_PRP will_MD build_VB new_JJ roads_NNS and_CC highways_NNS and_CC bridges_NNS and_CC airports_NNS and_CC tunnels_NNS and_CC railways_NNS all_DT across_IN our_PRP$ wonderful_JJ Nation_NN ._.
","We_PRP will_MD get_VB our_PRP$ people_NNS off_IN of_IN welfare_NN and_CC back_RB to_TO work_VB ,_, rebuilding_VBG our_PRP$ country_NN with_IN American_JJ hands_NNS and_CC American_JJ labor_NN ._.
",T
"We_PRP will_MD get_VB our_PRP$ people_NNS off_IN of_IN welfare_NN and_CC back_RB to_TO work_VB ,_, rebuilding_VBG our_PRP$ country_NN with_IN American_JJ hands_NNS and_CC American_JJ labor_NN ._.
","We_PRP will_MD follow_VB two_CD simple_JJ rules_NNS :_:
",T
"We_PRP will_MD follow_VB two_CD simple_JJ rules_NNS :_:
"," Buy_VB American_JJ and_CC hire_VB American_JJ ._.
",F
" Buy_VB American_JJ and_CC hire_VB American_JJ ._.
","We_PRP will_MD seek_VB friendship_NN and_CC good_NN will_MD with_IN the_DT nations_NNS of_IN the_DT world_NN ,_, but_CC we_PRP do_VBP so_RB with_IN the_DT understanding_NN that_IN it_PRP is_VBZ the_DT right_NN of_IN all_DT nations_NNS to_TO put_VB their_PRP$ own_JJ interests_NNS first_RB ._.
",F
"We_PRP will_MD seek_VB friendship_NN and_CC good_NN will_MD with_IN the_DT nations_NNS of_IN the_DT world_NN ,_, but_CC we_PRP do_VBP so_RB with_IN the_DT understanding_NN that_IN it_PRP is_VBZ the_DT right_NN of_IN all_DT nations_NNS to_TO put_VB their_PRP$ own_JJ interests_NNS first_RB ._.
","We_PRP do_VBP not_RB seek_VB to_TO impose_VB our_PRP$ way_NN of_IN life_NN on_IN anyone_NN ,_, but_CC rather_RB to_TO let_VB it_PRP shine_VB as_IN an_DT example—we_NN will_MD shine—for_VB everyone_NN to_TO follow_VB ._.
",F
"We_PRP do_VBP not_RB seek_VB to_TO impose_VB our_PRP$ way_NN of_IN life_NN on_IN anyone_NN ,_, but_CC rather_RB to_TO let_VB it_PRP shine_VB as_IN an_DT example—we_NN will_MD shine—for_VB everyone_NN to_TO follow_VB ._.
","We_PRP will_MD reinforce_VB old_JJ alliances_NNS and_CC form_VB new_JJ ones_NNS and_CC unite_VB the_DT civilized_JJ world_NN against_IN radical_JJ Islamic_JJ terrorism_NN ,_, which_WDT we_PRP will_MD eradicate_VB completely_RB from_IN the_DT face_NN of_IN the_DT Earth_NNP ._.
",F
"We_PRP will_MD reinforce_VB old_JJ alliances_NNS and_CC form_VB new_JJ ones_NNS and_CC unite_VB the_DT civilized_JJ world_NN against_IN radical_JJ Islamic_JJ terrorism_NN ,_, which_WDT we_PRP will_MD eradicate_VB completely_RB from_IN the_DT face_NN of_IN the_DT Earth_NNP ._.
","At_IN the_DT bedrock_NN of_IN our_PRP$ politics_NNS will_MD be_VB a_DT total_JJ allegiance_NN to_TO the_DT United_NNP States_NNPS of_IN America_NNP ,_, and_CC through_IN our_PRP$ loyalty_NN to_TO our_PRP$ country_NN ,_, we_PRP will_MD rediscover_VB our_PRP$ loyalty_NN to_TO each_DT other_JJ ._.
",F
"At_IN the_DT bedrock_NN of_IN our_PRP$ politics_NNS will_MD be_VB a_DT total_JJ allegiance_NN to_TO the_DT United_NNP States_NNPS of_IN America_NNP ,_, and_CC through_IN our_PRP$ loyalty_NN to_TO our_PRP$ country_NN ,_, we_PRP will_MD rediscover_VB our_PRP$ loyalty_NN to_TO each_DT other_JJ ._.
","When_WRB you_PRP open_VB your_PRP$ heart_NN to_TO patriotism_NN ,_, there_EX is_VBZ no_DT room_NN for_IN prejudice_NN ._.
",F
"When_WRB you_PRP open_VB your_PRP$ heart_NN to_TO patriotism_NN ,_, there_EX is_VBZ no_DT room_NN for_IN prejudice_NN ._.
","The_DT Bible_NNP tells_VBZ us_PRP ,_, ``_`` How_WRB good_JJ and_CC pleasant_JJ it_PRP is_VBZ when_WRB God_NNP 's_POS people_NNS live_VBP together_RB in_IN unity_NN ._.
",F
"The_DT Bible_NNP tells_VBZ us_PRP ,_, ``_`` How_WRB good_JJ and_CC pleasant_JJ it_PRP is_VBZ when_WRB God_NNP 's_POS people_NNS live_VBP together_RB in_IN unity_NN ._.
","''_'' We_PRP must_MD speak_VB our_PRP$ minds_NNS openly_RB ,_, debate_VB our_PRP$ disagreements_NNS honestly_RB ,_, but_CC always_RB pursue_VB solidarity_NN ._.
",F
"''_'' We_PRP must_MD speak_VB our_PRP$ minds_NNS openly_RB ,_, debate_VB our_PRP$ disagreements_NNS honestly_RB ,_, but_CC always_RB pursue_VB solidarity_NN ._.
","When_WRB America_NNP is_VBZ united_VBN ,_, America_NNP is_VBZ totally_RB unstoppable_JJ ._.
",F
"When_WRB America_NNP is_VBZ united_VBN ,_, America_NNP is_VBZ totally_RB unstoppable_JJ ._.
","There_EX should_MD be_VB no_DT fear_NN :_:
",F
"There_EX should_MD be_VB no_DT fear_NN :_:
"," We_PRP are_VBP protected_VBN ,_, and_CC we_PRP will_MD always_RB be_VB protected_VBN ._.
",F
" We_PRP are_VBP protected_VBN ,_, and_CC we_PRP will_MD always_RB be_VB protected_VBN ._.
","We_PRP will_MD be_VB protected_VBN by_IN the_DT great_JJ men_NNS and_CC women_NNS of_IN our_PRP$ military_JJ and_CC law_NN enforcement_NN ,_, and_CC most_RBS importantly_RB ,_, we_PRP will_MD be_VB protected_VBN by_IN God_NNP ._.
",T
"We_PRP will_MD be_VB protected_VBN by_IN the_DT great_JJ men_NNS and_CC women_NNS of_IN our_PRP$ military_JJ and_CC law_NN enforcement_NN ,_, and_CC most_RBS importantly_RB ,_, we_PRP will_MD be_VB protected_VBN by_IN God_NNP ._.
","Finally_RB ,_, we_PRP must_MD think_VB big_JJ and_CC dream_NN even_RB bigger_JJR ._.
",F
"Finally_RB ,_, we_PRP must_MD think_VB big_JJ and_CC dream_NN even_RB bigger_JJR ._.
","In_IN America_NNP ,_, we_PRP understand_VBP that_IN a_DT nation_NN is_VBZ only_RB living_VBG as_RB long_RB as_IN it_PRP is_VBZ striving_VBG ._.
",F
"In_IN America_NNP ,_, we_PRP understand_VBP that_IN a_DT nation_NN is_VBZ only_RB living_VBG as_RB long_RB as_IN it_PRP is_VBZ striving_VBG ._.
","We_PRP will_MD no_RB longer_RB accept_VB politicians_NNS who_WP are_VBP all_DT talk_NN and_CC no_DT action_NN ,_, constantly_RB complaining_VBG ,_, but_CC never_RB doing_VBG anything_NN about_IN it_PRP ._.
",F
"We_PRP will_MD no_RB longer_RB accept_VB politicians_NNS who_WP are_VBP all_DT talk_NN and_CC no_DT action_NN ,_, constantly_RB complaining_VBG ,_, but_CC never_RB doing_VBG anything_NN about_IN it_PRP ._.
","The_DT time_NN for_IN empty_JJ talk_NN is_VBZ over_IN ._.
",F
"The_DT time_NN for_IN empty_JJ talk_NN is_VBZ over_IN ._.
","Now_RB arrives_VBZ the_DT hour_NN of_IN action_NN ._.
",T
"Now_RB arrives_VBZ the_DT hour_NN of_IN action_NN ._.
","Do_VBP not_RB allow_VB anyone_NN to_TO tell_VB you_PRP that_IN it_PRP can_MD not_RB be_VB done_VBN ._.
",F
"Do_VBP not_RB allow_VB anyone_NN to_TO tell_VB you_PRP that_IN it_PRP can_MD not_RB be_VB done_VBN ._.
","No_DT challenge_NN can_MD match_VB the_DT heart_NN and_CC fight_NN and_CC spirit_NN of_IN America_NNP ._.
",F
"No_DT challenge_NN can_MD match_VB the_DT heart_NN and_CC fight_NN and_CC spirit_NN of_IN America_NNP ._.
","We_PRP will_MD not_RB fail_VB ._.
",F
"We_PRP will_MD not_RB fail_VB ._.
","Our_PRP$ country_NN will_MD thrive_VB and_CC prosper_VB again_RB ._.
",F
